repo	sha	parents	author_date	commit_date	author	subject	decorations	merge
REPO-01	ffb4bf72925576df800c1358b60e83e89eb22036		2025-07-19T04:14:11-04:00	2025-07-19T04:14:11-04:00	ntoledo319	Initial commit		-
REPO-01	9c88da74811fb4876f03686eb3cb18f9cf0e2737	ffb4bf72925576df800c1358b60e83e89eb22036	2025-07-19T04:18:18-04:00	2025-07-19T04:18:18-04:00	ntoledo319	docs: Add comprehensive Git documentation		-
REPO-01	80f3f3acd62524d1d8e5ef6141d7a3896cbad89c	9c88da74811fb4876f03686eb3cb18f9cf0e2737 bdd316b79da06379293adf6d24c33620428a70ed	2025-07-19T12:09:48-04:00	2025-07-19T12:09:48-04:00	ntoledo319	Merge pull request #1 from ntoledo319/cursor/expand-git-page-documentation-ac52		merge
REPO-01	bdd316b79da06379293adf6d24c33620428a70ed	9c88da74811fb4876f03686eb3cb18f9cf0e2737	2025-07-19T16:06:57+00:00	2025-07-19T16:06:57+00:00	Cursor Agent	Add comprehensive project documentation and GitHub templates		-
REPO-01	a18265d368f9ce2e25b3f72239ae1fec38f7c4c5	9c88da74811fb4876f03686eb3cb18f9cf0e2737	2025-07-19T23:59:22-04:00	2025-07-19T23:59:22-04:00	ntoledo319	Implemented smart file system module with indexing, clustering and search functionality		-
REPO-01	280cabf47e8741521d26fccc6b0f843f5d1a616d	a18265d368f9ce2e25b3f72239ae1fec38f7c4c5 80f3f3acd62524d1d8e5ef6141d7a3896cbad89c	2025-07-20T00:40:39-04:00	2025-07-20T00:40:39-04:00	ntoledo319	Clean up README.md merge conflicts		merge
REPO-01	f5b8060b022741e1550d0ea04d3a2ebc5eb130a0	280cabf47e8741521d26fccc6b0f843f5d1a616d	2026-04-06T09:30:59+00:00	2026-04-06T09:30:59+00:00	Claude	Add comprehensive project tracker with no timeframes		-
REPO-01	5425a1e3c9bd768576868f6172d6e9ce8102a6e9	f5b8060b022741e1550d0ea04d3a2ebc5eb130a0	2026-04-06T10:02:40+00:00	2026-04-06T10:02:40+00:00	Claude	Implement complete project tracker: 63 source files, 21 tests, 25K+ lines		-
REPO-01	30d08cf60a3174ef85e817ef106def82d4b28d46	5425a1e3c9bd768576868f6172d6e9ce8102a6e9	2026-04-06T10:02:46+00:00	2026-04-06T10:02:46+00:00	Claude	Add .gitignore and remove cached bytecode files		-
REPO-01	defdd40fc49a8937e6d813a9b355d6e5f3b2d787	30d08cf60a3174ef85e817ef106def82d4b28d46	2026-04-06T10:03:31+00:00	2026-04-06T10:03:31+00:00	Claude	Add file organizer tests and finalize medication widget		-
REPO-01	67db58a6fd278845c32cf9dc3707981322229b0d	defdd40fc49a8937e6d813a9b355d6e5f3b2d787	2026-04-06T10:06:24+00:00	2026-04-06T10:06:24+00:00	Claude	Add database and integration tests		-
REPO-01	5b83bf5f7f6f658b73641f7f736c33dce96868ec	67db58a6fd278845c32cf9dc3707981322229b0d	2026-04-06T10:51:49+00:00	2026-04-06T10:51:49+00:00	Claude	Enhance file organizer with magic bytes detection, watch folders, batch rename, and recency scoring		-
REPO-01	42fd1d110936ceeb73bf3b93304e279b69988d94	280cabf47e8741521d26fccc6b0f843f5d1a616d 5b83bf5f7f6f658b73641f7f736c33dce96868ec	2026-04-06T13:57:58-04:00	2026-04-06T13:57:58-04:00	ntoledo319	Merge pull request #3 from ntoledo319/claude/project-tracker-roadmap-wItJj		merge
REPO-01	2d7bafa7ee74f1387572d74b5f2e3e74d26f2f1e	42fd1d110936ceeb73bf3b93304e279b69988d94 0699a788845348e206b6fee1bdc665500be725de	2026-04-06T23:07:19-04:00	2026-04-06T23:07:19-04:00	ntoledo319	Merge pull request #4 from ntoledo319/claude/install-taste-engineering-EUFBZ		merge
REPO-01	0699a788845348e206b6fee1bdc665500be725de	42fd1d110936ceeb73bf3b93304e279b69988d94	2026-04-07T03:05:28+00:00	2026-04-07T03:05:28+00:00	Claude	Install Taste Engineering System for Claude Code		-
REPO-01	56063f24b3c5969701b24294c802fbe73b3b7397	2d7bafa7ee74f1387572d74b5f2e3e74d26f2f1e	2026-05-01T04:59:42-04:00	2026-05-01T04:59:42-04:00	ntoledo319	fix: resolve profile stdlib collision, lazy ML deps, stabilize 490 tests		-
REPO-01	113425520af3e24aff11dcdec5785203e7898ca9	56063f24b3c5969701b24294c802fbe73b3b7397	2026-05-05T16:19:40-04:00	2026-05-05T16:19:40-04:00	ntoledo319	audit: professionalize codebase, rewrite docs, fix config drift, add tests		-
REPO-01	14b90683c80efbd0c37686cb9154ae8e2cc6eb5e	113425520af3e24aff11dcdec5785203e7898ca9	2026-05-27T20:28:15-04:00	2026-05-27T20:28:15-04:00	ntoledo319	Polish Hearth UI and clean repository		-
REPO-01	998759796b22d033bc5ca64912ba283b22b8dc47	14b90683c80efbd0c37686cb9154ae8e2cc6eb5e	2026-05-30T13:28:29-04:00	2026-05-30T13:28:29-04:00	ntoledo319	checkpoint: preserve in-progress perfection pass (schema v3, themes, wearable sync)		-
REPO-01	9dac325378edad103f6a9d2888a211c5efc03ad4	998759796b22d033bc5ca64912ba283b22b8dc47	2026-05-30T13:55:14-04:00	2026-05-30T13:55:14-04:00	ntoledo319	fix(data): backfill task guids on migration; kill dual-module import hazard		-
REPO-01	10a59d65d114a4c501fb8853e62db5e644463c42	9dac325378edad103f6a9d2888a211c5efc03ad4	2026-05-30T14:05:35-04:00	2026-05-30T14:05:35-04:00	ntoledo319	fix(clinical+data): un-paywall crisis, unify data dir, wire medication to SQLite		-
REPO-01	37f358e5c2c1bde7f5943e835767f5d1562a4813	10a59d65d114a4c501fb8853e62db5e644463c42	2026-05-30T14:06:37-04:00	2026-05-30T14:06:37-04:00	ntoledo319	refactor: remove orphaned, broken FastAPI layer from the shipping product		-
REPO-01	6151c68ce3b56feb8d641e9461f903fb94835472	37f358e5c2c1bde7f5943e835767f5d1562a4813	2026-05-30T14:09:49-04:00	2026-05-30T14:09:49-04:00	ntoledo319	fix(gui): revive dead dashboard actions, mood search, and analytics		-
REPO-01	cba460bf5f4f2a9bad5c80dc498239282a53e1de	6151c68ce3b56feb8d641e9461f903fb94835472	2026-05-30T14:13:33-04:00	2026-05-30T14:13:33-04:00	ntoledo319	fix(os): make OS adaptation honest — no more faked success		-
REPO-01	ff3c5635657ccedf461784ab2ded54b83e613696	cba460bf5f4f2a9bad5c80dc498239282a53e1de	2026-05-30T14:16:33-04:00	2026-05-30T14:16:33-04:00	ntoledo319	fix(security): real PHI-at-rest hardening + vault that actually encrypts		-
REPO-01	c14ced81f944dab089b63bbe29209c4e152718e2	ff3c5635657ccedf461784ab2ded54b83e613696	2026-05-30T14:20:20-04:00	2026-05-30T14:20:20-04:00	ntoledo319	chore: repo hygiene + bump to 1.1.0		-
REPO-01	cbe93ce816a11214cb0787895a587b113afddee1	c14ced81f944dab089b63bbe29209c4e152718e2	2026-05-30T14:21:16-04:00	2026-05-30T14:21:16-04:00	ntoledo319	docs(readme): make platform + feature claims honest		-
REPO-01	8fb981c4d8dccc298a9c98b25e10bbea5a06870c	cbe93ce816a11214cb0787895a587b113afddee1	2026-05-31T00:40:35-04:00	2026-05-31T00:40:35-04:00	ntoledo319	build(macos): produce a real Hearth.app + fix spec path bug		-
REPO-01	7f835163dfe827d779d763f9f97f8e818c1502ad	8fb981c4d8dccc298a9c98b25e10bbea5a06870c	2026-05-31T00:45:00-04:00	2026-05-31T00:45:00-04:00	ntoledo319	test+fix: de-theater crisis/coping/gamification tests; fix gamification XP bug		-
REPO-01	bd21fb8aa933859baefcba7908a0594b994bd35a	7f835163dfe827d779d763f9f97f8e818c1502ad	2026-05-31T00:47:46-04:00	2026-05-31T00:47:46-04:00	ntoledo319	docs: add operator runbook (data locations, build, release, backup/restore/rollback, gate)		-
